Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Afrojack,AFROJACK,4D75GcNG95ebPtNvoNVXhz,exact,73,3987732
AHEE,AHEE,1gbDc1TANALgP8lLvO5UEf,exact,46,39029
ARMNHMR,ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,exact,47,114917
Audien,Audien,4xnMDfgEmXZEEDdITKcGuE,exact,56,196546
Austin Millz,Austin Millz,43UmVQp9qZILibJ5vHq21k,exact,51,130427
Avi Sic,Avi Sic,2zkKco91JEZWEnIYrWHZNe,exact,21,1061
Basstripper,Basstripper,1tSiIyp5dxfbEaS0nZGMEl,exact,47,40081
Biianco,BIIANCO,4Axsf7QVnPabbam5y6NwLt,exact,36,24966
Biscits,Biscits,052B9SONfhoScw7dgYWw5o,exact,57,85468
Martin Ikin,Martin Ikin,7DhdJhd6DrxeJlUajwttd1,exact,54,54046
Blanke,Blanke,59Yq0xrABEihHANsfo9QMT,exact,50,65117
Blossom,Blossom,0FhgVFxDmcXH3blEWtt13V,c,,
Boogie T,Boogie T,4zlw0jXUzd4dRcqI3Y1OiY,exact,47,97699
Cassian,Cassian,1ChtRJ3f4rbv4vtz87i6CD,exact,54,77255
Coco & Breezy,Coco & Breezy,0Adbm5kzcPUxFybf9fhjgG,c,,
Cole Knight,Cole Knight,6dZJom6MdxO0nNa0Ot7lqb,exact,24,1489
Crankdat,Crankdat,5lCekoJW9jNq01B1wiqdAb,exact,51,167148
Culture Shock,Culture Shock,6lp2VnIRXXpC9Wz7hSX6RE,exact,51,92820
ÆON:MODE,ÆON:MODE,41ouHqoKXNijIMFsQTmFQV,exact,45,9721
D.O.D,D.O.D,0Cs47vvRsPgEfliBU9KDiB,exact,70,103158
Danny Avila,DANNY AVILA,1Xv1qZHJ1hnRlWHRTZ3uci,exact,49,21990
Fly With Us,Fly With Us,5bCPEdvvv1s0CBBiuYc5eL,exact,32,1578
Ganja White Night,Ganja White Night,1a6oIpEh4DGgaqgWg5xwd3,exact,56,237844
Gene Farris,Gene Farris,49qOEODA3n8HiVUY4uwJbU,exact,37,20055
Godlands,Godlands,2BW6zD5lzOxdEFWrgsHMq8,exact,32,11352
Green Velvet,Green Velvet,3ABaec4jjl95VqmG1iD4k2,exact,54,245343
Hazcat,Hazcat,4JGJUIVDAHsUdSDnlaxYtZ,exact,,55
Hedex,Hedex,22I9QWygJ2IfxR855VsA3t,exact,57,144119
Bou,Bou,35dxfY1wywqVRUEaVuMm13,c,,
Illenium,ILLENIUM,45eNHdiiabvmbp4erw26rg,exact,71,1565881
Jackie Hollander,Jackie Hollander,5ykY9Uweo3gl5VFpb6z6pQ,exact,36,5677
Jade Cicada,Jade Cicada,6HFxqZ6WaTb7TQUhNsK25o,exact,35,46653
James Hype,James Hype,43BxCL6t4c73BQnIJtry5v,exact,68,436060
Jessica Audiffred,Jessica Audiffred,4odLDriBk6oEZotzLPTSnD,exact,46,59894
Nostalgix,Nostalgix,6CarTAUaWnQb6bp7yjP0Zz,exact,39,27906
Le Youth,Le Youth,1Zz6NBe8UIZjm88TvehFtx,exact,53,121252
Level Up,LEVEL UP,1ZpDxqXS6HAvoZyCzQfKRb,exact,47,49975
Loud Luxury,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,exact,66,675743
Malaa,Malaa,7w1eTNePApzDk8XtgykCPS,exact,50,253255
Marshmello,Marshmello,64KEffDW9EtZ1y2vBYgq8T,exact,82,34127093
Matroda,Matroda,45lcbTsX07JWzmTIjcdyBz,exact,58,144709
San Pacho,San Pacho,5jBerZvTAajwYvdxt3UhgU,exact,50,66475
Meduza,MEDUZA,0xRXCcSX89eobfrshSVdyu,exact,73,885259
Mersiv,Mersiv,6JU4RsXcN7rLafs39HwFxf,exact,44,56945
MK,MK,1yqxFtPHKcGcv6SXZNdyT9,exact,66,314006
Moonlght,MOONLGHT,0b9SpFqsoxkyoTbZqLlzSs,exact,58,66116
MPH,MPH,62SCu33InHVq97VaWw3eof,exact,46,34668
Murphy's Law,Murphy's Law,3EVzblmlRt3zPoB982Gr0G,exact,26,33620
Netsky,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,exact,58,460690
"Nikita, the Wicked","Nikita, the Wicked",0Kc65Qv0ju9H2cMNnP3Tqd,exact,44,12138
Odd Mob,Odd Mob,4qLwtWhlhyAoQ4S9mSrDW9,exact,63,97972
Omnom,OMNOM,3PYRXP25JcbqhvNaJYcnWy,exact,50,26239
Ravenscoon,Ravenscoon,7vfvYuEyJbh1Tf3QlOTAmZ,exact,39,29153
SABAI,SABAI,4OaSyxqlkp7aVpAZwF02QZ,exact,53,46996
Samplifire,SampliFire,57gGqESEggWfCpE3KOzdVa,exact,46,75777
SIDEPIECE,SIDEPIECE,5czbzNZZfWpyFgZyfT3Mkk,exact,61,98726
SLANDER,SLANDER,20DZAfCuP1TKZl5KcY7z3Q,exact,65,557745
Subtronics,Subtronics,3NJ94iuAmmMjbszODYT6pO,exact,63,367487
Tom & Collins,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,c,,
TroyBoi,TroyBoi,0tvpihdAsKiNnP6sWS3jUI,exact,57,420514
Twinsick,TWINSICK,4WfO14YgktUYkdLMrHgTeF,exact,45,61497
Virtual Riot,Virtual Riot,4FXGRMSHh2JjHxVwS8dhH1,exact,51,350392
Walker & Royce,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,c,,
Wilkinson,Wilkinson,6m8itYST9ADjBIYevXSb1r,exact,62,287798
William Black,William Black,7d5SfGXKpgS3JK8BFIq59h,exact,54,117544
With Løve,With Løve,0x0UI85q7lIdGMEZsNH5fm,exact,33,3198
Wooli,Wooli,1Uyqa2sdHm1bL5JK4IC4zc,exact,57,137610
YDG,YDG,286Ranmy5NZOVyIwNwAUE4,exact,52,28265
Yellow Claw,Yellow Claw,47z7ZrgFoBvVpCnElCE3Zh,exact,62,1040622
Zen Selekta,Zen Selekta,35U1RcBFdxNezzySMgVVd3,exact,21,5915
