Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Above & Beyond,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,exact,61,829897
A. G. Cook,A. G. Cook,335TWGWGFan4vaacJzSiU8,exact,56,179389
Alok,Alok,0NGAZxHanS9e0iNHpR8f2W,exact,78,11278101
Amaarae,Amaarae,21UPYSRWFKwtqvSAnFnSvS,exact,66,502545
Amelie Lens,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf,exact,58,669920
Amémé,AMÉMÉ,1txb9Qg5lJ3KATxPcIYyvO,exact,49,25524
Amyl and the Sniffers,Amyl and The Sniffers,3NqV2DJoAWsjl787bWaHW7,exact,59,455889
Anitta,Anitta,7FNnA9vBm6EKceENgCGRMb,c,,
Arca,Arca,4SQdUpG4f7UbkJG3cJ2Iyj,c,,
Artemas,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,exact,76,1134309
Austin Millz,Austin Millz,43UmVQp9qZILibJ5vHq21k,exact,51,130356
Basement Jaxx,Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ,exact,56,551370
Beabadoobee,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,exact,82,5339467
The Beaches,The Beaches,6ws5XBA70XgeBpnLZhQBoy,exact,59,316049
Beltran,Beltran,1jgSqmZTBltb5O2L7ErmEP,exact,55,73990
Ben Böhmer,Ben Böhmer,5tDjiBYUsTqzd0RkTZxK7u,exact,66,583061
Benson Boone,Benson Boone,22wbnEMDvgVIAGdFeek6ET,exact,84,4904069
Beth Gibbons,Beth Gibbons,6Lt6KFXX3P0v6vfrynQAMo,exact,50,182956
BigXthaPlug,BigXthaPlug,6qxpnaukVayrQn6ViNvu9I,exact,81,1360884
Blonde Redhead,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,exact,50,366208
Bob Vylan,Bob Vylan,6XgIk9Y6qy6JCMZVime6DQ,exact,44,84589
Boris Brejcha,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy,exact,63,1506204
CA7RIEL & Paco Amoroso,CA7RIEL & Paco Amoroso,6I8TDGeUmmLom8auKPzMdX,correct,64,255246
Charli XCX,Charli xcx,25uiPmTg16RbhZWAqwLBy5,exact,84,5049200
Chris Lorenzo,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj,exact,58,129151
Chris Stussy,Chris Stussy,3BxjasMelf9pKaE4f7Y0So,exact,57,125218
Chase & Status,Chase & Status,3jNkaOXasoc7RsxdchvEVq,c,,
Circle Jerks,Circle Jerks,4ubY8RYfXkcEqgjEMDuLYl,exact,42,266766
Clairo,Clairo,3l0CmX0FuQjFxr8SK7Vqag,correct,80,5829782
Coco & Breezy,Coco & Breezy,0Adbm5kzcPUxFybf9fhjgG,c,,
Damian Lazarus,Damian Lazarus,3EIJ8wiUHbgkRCt5cpRrQv,exact,44,76012
The Dare,The Dare,2mqiqsaX4LzFnUP7PmHGAb,exact,56,140491
Darkside,DARKSIDE,2933wDUojoQmvqSdTAE5NB,exact,50,251081
Dennis Cruz,Dennis Cruz,27mWOSZjlpmtoqsRjRwQyu,exact,47,127764
Desiree,Desiree,6TZbLCcOCv1DJvN28x3FBa,c,,
Triplosm,Triplosm,18JlbX3l0yzlwdnQVJrLsp,c,,
Disco Lines,Disco Lines,5Kmr0b3ip8g9P2i0dLTC3Z,exact,60,163211
Dixon,Dixon,3wc57nV2fGEoM8x4xPK1O9,c,,
Jimi Jules,Jimi Jules,6RsLLSkSTcL4YrvgRcBTQd,exact,50,44508
DJ Gigola,DJ Gigola,7feJmqQ32fTIPKBmPXwHXf,exact,46,46542
Djo,Djo,5p9HO3XC5P3BLxJs5Mtrhm,exact,74,1860053
D4vd,d4vd,5y8tKLUfMvliMe8IKamR32,exact,80,3587326
El Malilla,El Malilla,6BV37tKh6pY97mnNdTCzly,exact,73,1417315
Eli Brown,Eli Brown,5lVNSw2GPci8kebrAQpZqU,exact,60,145012
Enhyphen,ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,c,79,11142606
Erez,Erez,2yPkvwwVzlnxPwGGn3yfCx,exact,,41
Eyedress,Eyedress,3XxNRirzbjfLdDli06zMaB,exact,73,2469022
Fcukers,Fcukers,3UtzOHYm3lQALkKzVD4wyO,exact,47,29076
FKA twigs,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,exact,70,1374527
Francis Mercier,Francis Mercier,44qAhQu52dYKcHOFQd3esf,exact,64,81011
Gel,Gel,1fRv9jiRIN7zAOSpOfRP73,c,,
Ginger Root,Ginger Root,4UAW69682T7N0wrABUhqx0,exact,53,311790
