Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Martin Garrix,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,exact,75,15155045
Tiësto,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,exact,82,7739724
Alesso,Alesso,4AVFqumd2ogHFlRbKIjp1t,exact,74,3993296
33 Below,33 Below,4tMIsBBR8M0PsorDf0mNEz,exact,38,14647
MPH,MPH,62SCu33InHVq97VaWw3eof,exact,46,34533
6EJOU,6EJOU,1k0U51DXyjFk4YnLZUIMP9,exact,40,34975
Adam Ten,Adam Ten,05tmGPn4fFdVpnsMt0YW5S,exact,52,38102
Mita Gami,Mita Gami,6Y9N9gdo5jpzGsExWDymS8,exact,44,19328
Adrenalize,Adrenalize,6GebWeCCtey5pbQepRYD6c,exact,45,44585
Afrojack,AFROJACK,4D75GcNG95ebPtNvoNVXhz,exact,73,3985785
AHEE,AHEE,1gbDc1TANALgP8lLvO5UEf,exact,46,38863
Ahmed Spins,Ahmed Spins,4jercY4pUhY6jB8eQjpVJV,exact,53,68058
Airrica,Airrica,57sPl5iWgq5t6AscVbMTOW,exact,37,2633
Alex Chapman,Alex Chapman,3c8wfedCs5BJGHcFyusyeh,exact,36,9979
Alignment,Alignment,4eFbq5PZgW7YbtA65PP4wS,exact,44,82201
Alison Wonderland,Alison Wonderland,11gWrKZMBsGQWmobv3oNfW,exact,52,492991
ALLEYCVT,ALLEYCVT,4JxRK2gxmri7L7OWaxnVD1,exact,51,59703
Alok,Alok,0NGAZxHanS9e0iNHpR8f2W,exact,78,11278101
Amal Nemer,Amal Nemer,4dJbkK58s6mj9RGElqCNhm,exact,35,5473
Amelie Lens,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf,exact,58,669920
AMÉMÉ,AMÉMÉ,1txb9Qg5lJ3KATxPcIYyvO,exact,49,25524
Andromedik,Andromedik,7miXLG9boDOGHJaEelSL7T,exact,53,49035
Andy C,Andy C,75HK7rgkmDMTnWwwmcN53N,exact,52,163529
ANGEL CANNON,ANGEL CANNON,4Ybj0IqmuPWSp023XnJpCD,exact,38,3980
Annicka,Annicka,2Nu6MRZ5HQQJUzUCjaTDh4,exact,,11
ANOLUXX,ANOLUXX,1NzlrGKNUnKuheUva6Tavz,exact,27,6270
Apashe,Apashe,1fd3fmwlhrDl2U5wbbPQYN,exact,60,404050
Argy,Argy,1NaQOKgddaJipUtmptb7GI,exact,65,205300
Armand Van Helden,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,exact,63,285508
Armin Van Buuren,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,exact,75,4501735
ARMNHMR,ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,exact,47,114858
Arodes,Arodes,4p2f8wUtltMAFuIJB4NR47,exact,51,15802
ARTBAT,ARTBAT,3BkRu2TGd2I1uBxZKddfg1,exact,65,472738
MORTEN,MORTEN,19HFRWmRCl27kTk6LeqAO8,exact,64,125730
ATLiens,ATLiens,74RET4rCZPTGzhsLjD0i3g,exact,49,117160
Avalon,Avalon,4rulVipLmUL2Mg67SIUmCO,exact,38,98610
Basstripper,Basstripper,1tSiIyp5dxfbEaS0nZGMEl,exact,47,39971
Sota,SOTA,78UYwUXnotbqcp2NTxjujP,exact,45,36637
Basswell,Basswell,4NzdIkiweEHJgVdg8q2Ruk,exact,52,71889
Beltran,Beltran,1jgSqmZTBltb5O2L7ErmEP,exact,55,73990
Ben Hemsley,Ben Hemsley,366L4EjZXBPYbHs9XDQILZ,exact,52,58471
Ben Nicky,Ben Nicky,3Bd1phrOZJuCev9U0bzdtA,exact,53,124302
Ben Sterling,Ben Sterling,79uJoLQkQ621xZy7MyH4uL,exact,34,15486
Bicep,BICEP,73A3bLnfnz5BoQjb4gNCga,exact,61,596188
BIIA,BIIA,6aLjZidc4PrcXCrCnLzR6W,exact,24,10788
Billy Gillies,Billy Gillies,0kmovylAP20DMJhS3BE2CO,exact,53,68719
Biscits,Biscits,052B9SONfhoScw7dgYWw5o,exact,57,85322
Black Tiger Sex Machine,Black Tiger Sex Machine,0o9qzOHuHkGZ3xMFKpMFkC,exact,48,178210
Blond:ish,Blond:ish,6GMiprLOoPjSQkwDj8EqOh,exact,2,107
Bontan,Bontan,1tZgoMqNTa7lII4w9pV3ud,exact,51,21653
Calussa,Calussa,0BlAuudg3BELkqP2nONKSW,exact,46,11563
Boys Noize,Boys Noize,62k5LKMhymqlDNo2DWOvvv,exact,55,297337
Brutalismus 3000,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,exact,57,390458
Caravel,Caravel,279l8YFGkhVJr3MsLykjnE,exact,11,4
Carlita,Carlita,1GVbOnrND8b3eh2JZ4opw8,exact,54,44949
Caspa,Caspa,4nMuaJ4kBLDJCRBizNESI6,exact,36,71350
Rusko,Rusko,4BTcOR2hEQZQQL5AMo5u10,exact,45,277631
Cera Khin,Cera Khin,49QMv0RvuxcUG8Xk6YweEz,exact,22,19698
Champion,Champion,1ckiXpE9Maj6A6OFFUtdv1,exact,21,10731
Charlotte De Witte,Charlotte de Witte,1lJhME1ZpzsEa5M0wW6Mso,exact,62,1078095
Chase & Status,Chase & Status,3jNkaOXasoc7RsxdchvEVq,c,,
ChaseWest,ChaseWest,4770WxUOyJMOJ1CHiZi2d6,exact,29,8555
Chris Avantgarde,Chris Avantgarde,715OI7hiv58daVlEDXM47U,exact,56,63770
CHYL,CHYL,15HOfHbNWedCAcJ3Cm1mbc,exact,40,24379
Clara Cuvé,Clara Cuvé,7daFW9cX9jHmOxZ0PIofRm,exact,23,18321
Classmatic,Classmatic,2vOQkFQDXp4QV77pnlet6m,exact,36,24013
Clawz,Clawz,6iyGL4C9SLSt2loLtxyRln,exact,16,91
Cloonee,Cloonee,7MdlXmq2HViAJWo9cf30sR,exact,62,188810
Code Black,Code Black,0I5is4tdxHhT3Ft2EzPjlB,exact,48,65392
Cole Knight,Cole Knight,6dZJom6MdxO0nNa0Ot7lqb,exact,24,1477
Cosmic Gate,Cosmic Gate,6ySxYu68zTsO5ghsThpGtS,exact,52,285040
Crankdat,Crankdat,5lCekoJW9jNq01B1wiqdAb,exact,51,166864
D-Sturb,D-Sturb,7E6DrjKJieOdJKO8mbwCMO,exact,52,89914
Da Tweekaz,Da Tweekaz,6UOk7DmvqlzWmo6gjhZvn6,exact,60,314559
Daniel Allan,Daniel Allan,5JQ1XqKJ2Art01rF4tu1Ra,exact,49,20688
DANNY AVILA,DANNY AVILA,1Xv1qZHJ1hnRlWHRTZ3uci,exact,49,21893
Darren Styles,Darren Styles,2gZzTzeACSwFqkMroVxmnm,exact,56,140867
David Forbes,David Forbes,3kwdB3aUfg0uneHczX2vTG,exact,38,18713
David Rust,David Rust,31PQANabd071TUYth7bG5n,exact,31,12389
DEATH CODE,DEATH CODE,4TxNiQlZXcBj79ySTx9f2o,exact,28,2327
KAMI,KAMI,5nodOFXcI3HPPhfqhWwd06,exact,37,4798
Dennis Cruz,Dennis Cruz,27mWOSZjlpmtoqsRjRwQyu,exact,47,127764
Deorro,Deorro,6VD4UEUPvtsemqD3mmTqCR,exact,65,1266416
Devin Wild,Devin Wild,4ksdbwHbqSmv7sWP3W6L21,exact,48,43925
Dimension,Dimension,1QMgre3BHX161ZHtWMUu6S,exact,61,153522
Dombresky,Dombresky,2GVtgxcx7jg5xVCZsIHSGN,exact,51,124001
DRINKURWATER,Drinkurwater,4P4PUC5CstzTajr5dhwQZk,exact,32,18935
Dual Damage,Dual Damage,05bETZtzSdUI5fconFIKRX,exact,57,71505
Dylan Brady,Dylan Brady,2Cm6C9PNHioyjRKBfO7n9N,exact,53,72299
Eli Brown,Eli Brown,5lVNSw2GPci8kebrAQpZqU,exact,60,145012
Eric Prydz,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,exact,64,662419
Excision,Excision,5FKchcZpQOkqFvXBj1aCvb,exact,59,758916
Fcukers,Fcukers,3UtzOHYm3lQALkKzVD4wyO,exact,47,29076
Fisher,FISHER,1VJ0briNOlXRtJUAzoUJdt,exact,77,1077045
Francis Mercier,Francis Mercier,44qAhQu52dYKcHOFQd3esf,exact,64,81011
Funk Tribu,Funk Tribu,1vK8NnrPlBlF34LaiFX1SK,exact,57,93343
Fury,Fury,62zeCnl4XbUvKMrkNAmmm0,exact,20,18043
MC Dino,MC Dino,5hPdACTROoi69yZpLpSVbs,exact,4,151
Gesaffelstein,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,exact,72,874823
VNSSA,VNSSA,6fjbZ7zQBYEy3kvB5JL5PM,exact,36,19844
Nala,Nala,2rTvgpXa8PA62yBCfwdQxf,exact,36,11556
Gorgon City,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,exact,61,501162
Gudfella,Gudfella,4DElrChF1vBFP2uvKwA9m7,exact,8,34
Hannah Laing,Hannah Laing,1QEd635szhierW6gzRiS1o,exact,60,108086
Hedex,Hedex,22I9QWygJ2IfxR855VsA3t,exact,57,143824
Horsegirl,Horsegirl,2FDvUb4YgyUPpmnm1ILPra,exact,49,56876
Hot Since 82,Hot Since 82,1tRBmMtER4fGrzrt8O9VpS,exact,48,305157
HUGEL,HUGEL,5PlfkPxwCpRRWQJBxCa0By,exact,77,430939
I Hate Models,I Hate Models,0KqSULB80ft2H3aFg6kJmN,exact,50,260095
ILLENIUM,ILLENIUM,45eNHdiiabvmbp4erw26rg,exact,70,1565098
SLANDER,SLANDER,20DZAfCuP1TKZl5KcY7z3Q,exact,65,557358
INFEKT,INFEKT,3I6KMDdmPiLE5UQ4XF8Kpl,exact,42,80653
Interplanetary Criminal,Interplanetary Criminal,6uJ51uV5rYzu1MJkC4CceI,exact,61,60691
INVT,INVT,7iS41tYQBUyJsZYcxCse0D,exact,24,7156
INZO,INZO,18Eu7uJEMPWwwt1QUdCglQ,exact,52,174319
ISOKNOCK,ISOKNOCK,0mmIPiJ8l2gAProE7THr37,exact,48,18471
it's murph,it's murph,3zW0xazqnHoq9QV9zBROVC,exact,59,66186
Jackie Hollander,Jackie Hollander,5ykY9Uweo3gl5VFpb6z6pQ,exact,36,5595
James Hype,James Hype,43BxCL6t4c73BQnIJtry5v,exact,68,434806
Jessica Audiffred,Jessica Audiffred,4odLDriBk6oEZotzLPTSnD,exact,46,59790
LAYZ,LAYZ,2ozQcs5XxFaj5fvA02zhwo,exact,39,29435
Kaskade,Kaskade,6TQj5BFPooTa08A7pk8AQ1,exact,65,977266
Kompany,Kompany,7dtX3ykcuyVmts2HQnWgSP,exact,45,84951
Korolova,Korolova,0I6oCyQQ1Q50q97y9B9gAx,exact,56,188717
Ky William,Ky William,2dIpuJtQApGRmGeUobllYq,exact,31,5229
Kyle Watson,Kyle Watson,7LJSAfWhO7jhjnewy6pKyZ,exact,52,115784
Lady Faith,Lady Faith,1va2Hj3SvWvu3L6jAN6k01,exact,32,15324
Lake Hills,Lake Hills,5y5zEG94qXEAbvj1kP0SR5,exact,19,2089
Laura van Dam,Laura van Dam,6gmecOfbzCBnKd3OGkCQuz,exact,43,19418
Lauren Mia,Lauren Mia,5HWKpmCYAFYybu5WKtxnnq,exact,35,22899
Lavern,Lavern,03y4yOxhLk6MDJ1bV424uO,exact,65,143290
Layton Giordani,Layton Giordani,7mC3RkNNTV6p2j9w4F8Ip4,exact,59,96352
Le Youth,Le Youth,1Zz6NBe8UIZjm88TvehFtx,exact,53,121180
LEVEL UP,LEVEL UP,1ZpDxqXS6HAvoZyCzQfKRb,exact,47,49833
Levenkhan,Levenkhan,0ceEjm8IKMdK5BjMmnGMrd,exact,40,8024
Levity,Levity,1PbO7aQiVeKbGp8GYWDL9C,exact,53,87053
LF System,LF SYSTEM,0HxX6imltnNXJyQhu4nsiO,exact,62,89322
Lil Texas,Lil Texas,76raIy8boaM9sf9gMGXGJ5,exact,57,110377
Linska,Linska,5f7jxYF5js7lD5lMyIPUBq,exact,44,3878
Liquid Stranger,Liquid Stranger,4YJsSCuag8W1TFTgSeEc2k,exact,46,236802
Lostly,Lostly,39YXQGcflynecg2L3APfqf,exact,30,5529
Loud Luxury,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,exact,66,675580
Maddix,Maddix,0RMeG9M8QFzss9bAbq99KA,exact,66,185427
Malugi,MALUGI,50udUOTR7dQUgyPwPuCLM6,exact,52,26995
