Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
THE 1975,The 1975,3mIj9lX2MWuHmhNCA7LSCW,exact,77,7660107
LOYLE CARNER,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,exact,63,765882
BIFFY CLYRO,Biffy Clyro,1km0R7wy712AzLkA1WjKET,exact,57,735045
ALANIS MORISSETTE,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,exact,68,3012920
BUSTA RHYMES,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,exact,71,2990001
MARIBOU STATE,Maribou State,7zrkALJ9ayRjzysp4QYoEg,exact,68,439473
GRACIE ABRAMS,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,exact,88,4810724
FOUR TET,Four Tet,7Eu1txygG6nJttLHbZdQOh,exact,62,770125
WET LEG,Wet Leg,2TwOrUcYnAlIiKmVQkkoSZ,exact,57,676094
ANOHNI AND THE JOHNSONS,ANOHNI,6VJZYivuYJGCrPuOAnI7Qo,c,48,178575
BADBADNOTGOOD,BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,exact,64,832127
BLOSSOMS,BLOSSOMS,22RISwgVJyZu9lpqAcv1F5,c,,
BURNING SPEAR,Burning Spear,6qaKS0nzGP4hfjl4aFZmEU,exact,50,560185
CMAT,CMAT,3VBNIRx1LxVdRqOiPgkLwv,exact,49,103089
DENZEL CURRY,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,exact,72,2753936
EN VOGUE,En Vogue,5fikk4h5qbEebqK2Fc6e48,exact,57,1440939
ENGLISH TEACHER,English Teacher,5H9IFTRxSICj24uxO15ScU,exact,46,81284
FATBOY SLIM,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,exact,64,1330315
FAYE WEBSTER,Faye Webster,5szilpXHcwOqnyKLqGco5j,exact,74,1774426
FLOATING POINTS,Floating Points,2AR42Ur9PcchQDtEdwkv4L,exact,51,368052
FRANZ FERDINAND,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,exact,69,2830573
GLASS BEAMS,Glass Beams,1LTFJvVvRw7ghAyThxYmnF,exact,53,436414
INHALER,Inhaler,6lyMYewq2SuTFIXgiv7OxH,exact,64,457093
LOLA YOUNG,Lola Young,67FB4n52MgexGQIG8s0yUH,exact,83,852797
MYLES SMITH,Myles Smith,3bO19AOone0ubCsfDXDtYt,exact,77,970440
OSEES,Osees,0Ynh5WKqwbdYqJUpVpfEGS,exact,42,53514
PINKPANTHERESS,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,exact,75,3936383
SELF ESTEEM,Self Esteem,3K9muOlJVKLgH4SIwwZiDe,exact,45,80131
SUPERGRASS,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,exact,59,644888
VIEUX FARKA TOURÉ,Vieux Farka Touré,4PmxbsWP1u0TnvqcrIA9ze,exact,50,85980
WUNDERHORSE,Wunderhorse,41pd7r1XBRsvdxY3vHEgib,exact,62,150861
NEIL YOUNG AND THE CHROME HEARTS,neil young and the chrome hearts,35S7T09aV4E9CC0R2RgTXK,exact,29,1033
CHARLI XCX,Charli xcx,25uiPmTg16RbhZWAqwLBy5,exact,85,5067889
RAYE,RAYE,5KKpBU5eC2tJDzf0wmlRp2,exact,81,2178011
DOECHII,Doechii,4E2rKHVDssGJm2SCDOMMJB,exact,86,2195080
DEFTONES,Deftones,6Ghvu1VvMGScGpOUJBAHNH,exact,80,6629668
EZRA COLLECTIVE,Ezra Collective,5BRAUN0yN8557PLRZIr02W,exact,60,317349
JOHN FOGERTY,John Fogerty,5ujCegv1BRbEPTCwQqFk6t,exact,56,900680
AMYL AND THE SNIFFERS,Amyl and The Sniffers,3NqV2DJoAWsjl787bWaHW7,exact,59,457695
AMAARAE,Amaarae,21UPYSRWFKwtqvSAnFnSvS,exact,66,503428
BEABADOOBEE,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,exact,82,5360732
BETH GIBBONS,Beth Gibbons,6Lt6KFXX3P0v6vfrynQAMo,exact,50,183205
BOB VYLAN,BOB VYLAN,6XgIk9Y6qy6JCMZVime6DQ,c,,
BRANDI CARLILE,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,exact,64,872468
CARIBOU,Caribou,4aEnNH9PuU1HF3TsZTru54,exact,57,703808
FATHER JOHN MISTY,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,exact,69,912715
