Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
999999999,999999999,6uD2LjPHUjxrpax0se17Nc,exact,41,151410
Adam Ten,Adam Ten,05tmGPn4fFdVpnsMt0YW5S,exact,52,38300
Mita Gami,Mita Gami,6Y9N9gdo5jpzGsExWDymS8,exact,45,19426
AIMMIA,AIMMIA,3ORadKGfvLXgYQ8xv5D2jV,exact,19,5006
Alex Chapman,Alex Chapman,3c8wfedCs5BJGHcFyusyeh,exact,36,9995
Zoe Gitter,Zoe Gitter,0IYS6mzt0DZL8P7DaqT4nm,c,,
Alignment,Alignment,4eFbq5PZgW7YbtA65PP4wS,exact,44,82306
Annicka,Annicka,2Nu6MRZ5HQQJUzUCjaTDh4,exact,,11
Ben Sterling,Ben Sterling,79uJoLQkQ621xZy7MyH4uL,exact,34,15531
Blackchild,Blackchild,4bOa8d6N7sIabc0CHIAMkv,exact,4,167
The Blessed Madonna,The Blessed Madonna,4TvhRzxIL1le2PWCeUqxQw,exact,65,113875
BOLO,BOLO THE DJ,4qaAcBXIagTIWYkJRlxYZ7,c,,
Bou,Bou,35dxfY1wywqVRUEaVuMm13,c,,
BRUX,BRUX,05jtmvy7zPhTp4GQexPkXY,exact,25,3753
Crankdat,Crankdat,5lCekoJW9jNq01B1wiqdAb,exact,51,167148
Cromby,Cromby,1qxDhjTatsIGuMVF3LMAOX,exact,23,5556
D.O.D,D.O.D,0Cs47vvRsPgEfliBU9KDiB,exact,70,103158
Daniel Allan,Daniel Allan,5JQ1XqKJ2Art01rF4tu1Ra,exact,49,20753
,,,,,
Deborah De Luca,Deborah de Luca,144HzhpLjcR9k37w5Ico9B,exact,55,541542
Deorro,Deorro,6VD4UEUPvtsemqD3mmTqCR,exact,66,1266684
Dom Dolla,Dom Dolla,205i7E8fNVfojowcQSfK9m,exact,71,529671
FEID,Feid,2LRoIwlKmHjgvigdNGBHNo,exact,89,16374431
Floating Points,Floating Points,2AR42Ur9PcchQDtEdwkv4L,exact,51,368052
Four Tet,Four Tet,7Eu1txygG6nJttLHbZdQOh,exact,62,770125
,,,,,
Funk Tribu,Funk Tribu,1vK8NnrPlBlF34LaiFX1SK,exact,57,93752
Gesaffelstein,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,exact,72,880085
Gordo,Gordo,4Ge9GwmWnOQsohwPTrXyHc,c,,
Habstrakt,Habstrakt,1YYJxpOXYk1z1WtqdeLMkn,exact,49,134521
JSTJR,JSTJR,5SNvvu3C0tFHMXcih3NdiP,exact,40,30788
Hybrid Minds,Hybrid Minds,05lF0DUkLJqiW5o70SScyR,exact,59,189137
I Hate Models,I Hate Models,0KqSULB80ft2H3aFg6kJmN,exact,50,260706
it's murph,it's murph,3zW0xazqnHoq9QV9zBROVC,exact,59,66705
Ivarr,IVARR,3lkrifjbmp4lCWCCbyD6ps,exact,14,2169
James Hype,James Hype,43BxCL6t4c73BQnIJtry5v,exact,68,436060
Joy Orbison,Joy Orbison,0aIpJqqTLf683ojWREc5lg,exact,51,130043
JUVENILE,JUVENILE,0rG0AZBscc8S8q1ahIsasI,exact,59,1068482
,,,,,
Kaytranada,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,exact,71,1665744
KI/KI,KI/KI,0UMs6dTf23FC2fHc40fXNS,exact,48,47367
KILIMANJARO,KILIMANJARO,4QGD0m9AGZixhuPAzaBeD7,exact,60,13278
Melé,Melé,6EZO7Baz0SIFskWTO1GHqX,exact,37,26462
Linska,Linska,5f7jxYF5js7lD5lMyIPUBq,exact,44,3944
Loco Dice,Loco Dice,4rbw4Z9Hjn6n9x5oYzZe7P,exact,45,183679
MALUGI,MALUGI,50udUOTR7dQUgyPwPuCLM6,exact,52,27123
Marlon Hoffstadt,Marlon Hoffstadt,0HHa7ZJZxUQlg5l2mB0N0f,exact,63,142535
Narciss,Narciss,7jEmLGxzh2RuOwdj96tlyL,c,,
Nico Moreno,Nico Moreno,6fjhNhp9IoeiZpEXq9AT2S,exact,55,289749
ØTTA,ØTTA,13Mv9xsTvpgUxCdth9MWnG,exact,32,29743
Overmono,Overmono,01PnN11ovfen6xUOHfNpn3,exact,55,164572
Peekaboo,PEEKABOO,4Ok1Cm5YX5StCQZgH0r2xF,exact,52,134212
Player Dave,Player Dave,1rQItbnVgtRiJkTxHRBUc0,exact,33,13679
pluko,pluko,01qbSocTDAe2DmKayS89A5,exact,49,85979
Prospa,Prospa,6HabM2PUM519iIxervGWSb,exact,52,55043
Riordan,Riordan,68rU1sdZ0HjxjEC5YnSmao,exact,47,42767
Sara Landry,Sara Landry,7eILArMiTFTQf8SEh5fFHK,exact,58,320325
Sean Paul,Sean Paul,3Isy6kedDrgPYoTS1dazA9,exact,81,5057098
Sosa,SOSA,3JlN0MeWVJq0vjvsvWCRZ5,exact,54,57533
STVSH,STVSH,5nEtdd8cmhvf1zgNMFoQcI,exact,29,5454
Tape B,Tape B,59tlsKpLWoLTxjNNS2wdPi,exact,52,70907
Mersiv,Mersiv,6JU4RsXcN7rLafs39HwFxf,exact,44,56945
Torren Foot,Torren Foot,7lQOxDl96wmNoqGoW4kgv4,exact,51,25199
Airwolf Paradise,Airwolf Paradise,0c3I7EPZUCCG7khbUwQDjl,exact,37,13344
Trace,Trace,4T0QPJFV83O1j9w8y5apQX,c,,
Trax Unit,Trax Unit,52XcKQP4stalInJXrZSnGz,exact,4,400
Villager,Villager,5NhirHwHO8nu6MrwjBizh7,exact,34,12765
Viperactive,Viperactive,7HeSEuZA4D7EtdygBjCbi9,exact,38,13297
Walker & Royce,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,c,,
VNSSA,VNSSA,6fjbZ7zQBYEy3kvB5JL5PM,exact,36,19883
Yamagucci,Yamagucci,6EuSg8aungYTh6vNgL1EpG,exact,35,6568
YDG,YDG,286Ranmy5NZOVyIwNwAUE4,exact,52,28265
