Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
A$AP Rocky,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,exact,86,16181925
ALEXSUCKS,ALEXSUCKS,0zmxCsd8aIJHfNC95gdT2i,yes,44,26009
Alemeda,Alemeda,33Se8kMYeTPkeeM2LnsPF8,c,,
Alex Warren,Alex Warren,0fTSzq9jAh4c36UVb4V7CB,exact,83,968693
Aliyah's Interlude,Aliyah's Interlude,7maQENQfaF8xDdEJp4i545,exact,57,287400
ALLEYCVT,ALLEYCVT,4JxRK2gxmri7L7OWaxnVD1,yes,52,61045
Amaarae,Amaarae,21UPYSRWFKwtqvSAnFnSvS,exact,66,507039
Artemas,Artemas,0PCCGZ0wGLizHt2KZ7hhA2,exact,76,1162563
Azzecca,Azzecca,2k5DY2QDU3kBi5DX7OQlWj,c,,
Barry Can't Swim,Barry Can't Swim,0vTVU0KH0CVzijsoKGsTPl,exact,64,222965
Benches,benches,62U36LEen0wpm8L5q68iVu,exact,48,48157
Bilmuri,Bilmuri,5Rc75vGFBWZPgL7EXb4k89,exact,60,198020
Black Party,bLAck pARty,4C9Tvlt8v7d8R6h98FgdUy,exact,43,250128
Bladee,Bladee,2xvtxDNInKDV4AvGmjw6d1,exact,68,570832
Bleachers,Bleachers,2eam0iDomRHGBypaDQLwWI,exact,69,840938
BLK ODYSSY,BLK ODYSSY,062tCT8GVioC9EMiI9jeOV,yes,54,106040
Bo Staloch,Bo Staloch,2EtiCherSxAKu7mnbU8Poh,exact,47,18865
bôa,bôa,5jTtGLk1mGFMY5lQOvJYUj,yes,71,1051447
Bossman Dlow,BossMan Dlow,23xFbA9rYgRX8mreqysWPc,exact,72,621103
Boynextdoor,BOYNEXTDOOR,4hnHLgMSOiqERWBL4jINP1,exact,70,1307975
Cage The Elephant,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,exact,74,4075209
Carol Ades,Carol Ades,3WuoKYR1zeLGxR29c53Vdr,exact,40,26023
Caroline Kingsbury,Caroline Kingsbury,0uE0bzpIfuZ9XVduu0byzg,exact,43,20022
Carter Vail,Carter Vail,4Bu9DnBZ12oX7MiiaJy9hK,exact,48,109189
Cassandra Coleman,Cassandra Coleman,1O6GvgnaHzgcFlCX6RlhYV,c,,
CA7RIEL,CA7RIEL,348pk4o3EhKmsSahzuClSf,c,,
Paco Amoroso,Paco Amoroso,3E7NGbzUGlOjgYY8nvtijR,exact,70,221922
Ca7riel & Paco Amoroso,Ca7riel & Paco Amoroso,6I8TDGeUmmLom8auKPzMdX,add,,
Charlotte Lawrence,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,exact,57,1180252
Chase & Status,Chase & Status,3jNkaOXasoc7RsxdchvEVq,c,,
,,,,,
Chicago Youth Symphony Orchestra,Chicago Youth Symphony Orchestra,38F4eptEGZAvPhZEjWS46W,exact,3,130
Clairo,Clairo,3l0CmX0FuQjFxr8SK7Vqag,exact,81,5875208
Cloonee,Cloonee,7MdlXmq2HViAJWo9cf30sR,exact,63,190913
Colby Acuff,Colby Acuff,2L9DVKDXY3W8uRl5TwLbMC,exact,55,131254
Daniel Allan,Daniel Allan,5JQ1XqKJ2Art01rF4tu1Ra,exact,50,21008
Del Water Gap,Del Water Gap,0xPoVNPnxIIUS1vrxAYV00,exact,62,244803
Diamond David,Diamond David,1zEwqICpP634Qgz3ALmhvG,c,,
DJ Heather,DJ Heather,6K3wEom1qiZrmZ6pTNdLcl,exact,5,1922
DJO,Djo,5p9HO3XC5P3BLxJs5Mtrhm,exact,75,1884375
Doechii,Doechii,4E2rKHVDssGJm2SCDOMMJB,exact,88,2457979
Dogpark,Dogpark,2VlmDb05CPERyCZfmZI3x7,exact,43,31312
Dom Dolla,Dom Dolla,205i7E8fNVfojowcQSfK9m,exact,72,538447
Dominic Fike,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,exact,79,2058947
Dr. Fresch,Dr. Fresch,1htHgbGwgCWJBfGiQwcRqC,exact,52,134652
Dua Saleh,Dua Saleh,2DGBzoOLcKLK3eWxFyugdB,exact,45,108926
Durand Bernarr,Durand Bernarr,2d6ggH1oVt4z2zCuY2u5DW,exact,54,121654
Eddie And The Getaway,Eddie And The Getaway,7oTkfyZOcKQuCUFnSVLB3j,exact,54,86170
Fcukers,Fcukers,3UtzOHYm3lQALkKzVD4wyO,exact,47,30223
FINNEAS,FINNEAS,37M5pPGs6V1fchFJSgCguX,exact,70,2200553
Flipturn,flipturn,7FKTg75ADVMZgY3P9ZMRtH,exact,63,222747
Flowerovlove,flowerovlove,1JspXUvEv3D9ddMeLNqYWj,exact,54,107961
Flux Pavilion,Flux Pavilion,7muzHifhMdnfN1xncRLOqk,exact,58,717136
Foster The People,Foster The People,7gP3bB2nilZXLfPHJhMdvc,exact,73,3959993
Fujii Kaze,Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,exact,74,4005978
Gigi Perez,Gigi Perez,1iCnM8foFssWlPRLfAbIwo,exact,79,999541
Girl Tones,Girl Tones,1Tq0nryXkwLARcHDMIZbY6,exact,28,3914
Glass Beams,Glass Beams,1LTFJvVvRw7ghAyThxYmnF,exact,54,442510
Gracie Abrams,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,exact,89,4958776
