Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
Chris Lake,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,exact,68,369942
deadmau5,deadmau5,2CIMQHirSU0MQqyYHq0eOx,exact,67,2846965
Excision,Excision,5FKchcZpQOkqFvXBj1aCvb,exact,59,758916
Galantis,Galantis,4sTQVOfp9vEMCemLw50sbu,exact,69,3423366
Kaskade,Kaskade,6TQj5BFPooTa08A7pk8AQ1,exact,65,977266
Louis The Child,Louis The Child,7wg1qvie3KqDNQbAkTdbX0,exact,58,483840
Of The Trees,Of The Trees,5V7NIXgCnX2KuQ01Bxg20c,exact,50,112530
Rezz,Rezz,4aKdmOXdUKX07HVd3sGgzw,exact,58,564286
RL Grime,RL Grime,5eIbEEQnDM8yuDVB0bimSP,exact,62,435181
Seven Lions,Seven Lions,6fcTRFpz0yH79qSKfof7lp,exact,59,509961
Sofi Tukker,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,exact,67,868809
SVDDEN DEATH,SVDDEN DEATH,2u01kCKA5wDvvztuH8lyT0,exact,51,243019
Timmy Trumpet,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,exact,71,1236640
Zedd,Zedd,2qxJFvFYMEDqd7ui6kSAcq,exact,75,6044468
Zeds Dead,Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,exact,61,632576
Apashe,Apashe,1fd3fmwlhrDl2U5wbbPQYN,exact,60,404050
Audiofreq,Audiofreq,0hHKtZEXHNsXfgrNgU7Zkl,exact,43,32864
Benny Benassi,Benny Benassi,4Ws2otunReOa6BbwxxpCt6,exact,65,584792
Bobby Afterlife,Bobby Afterlife,2I3QcdVHmO4UBCSjO00lT9,exact,1,109
BONNIE X CLYDE,BONNIE X CLYDE,74xeHqz5Ap8ZHq69TkxI0r,exact,48,75590
Caster,Caster,4z7OnrBHTHdfpjNKl7NGox,exact,33,12513
Chris Lake,Chris Lake,5Igpc9iLZ3YGtKeYfSrrOE,exact,68,369942
CLB,CLB,0qSxGo3EgCGfHWfFDo2zzo,c,,
Control Freak,Control Freak,0ouxenSvuyyfflbOirMy19,exact,33,15457
Yobi,Yobi,0hWnFM5e8ZZAI1tw8SOCfP,exact,1,185
Darksiderz,Darksiderz,1XwoaxvFx5Y67ZdLQt2TMa,exact,17,4439
Deadmau5,deadmau5,2CIMQHirSU0MQqyYHq0eOx,exact,67,2846965
Dennett,Dennett,00iuR3hBqoYxY8I0XYcWN9,exact,28,13293
Detox Unit,Detox Unit,1avvbQAURNF8oTtXn40NHI,exact,29,25949
Distinct Motive,Distinct Motive,5KfqHG8bhfI18ZuTzZSdSM,exact,34,17953
Dogma,Dogma,4R6XPuqGShFESRVkCePaxj,exact,43,44650
Double D,Double D,4xkDuKUkDST3ESliFCdcDy,exact,28,834
Excision,Excision,5FKchcZpQOkqFvXBj1aCvb,exact,59,758916
Gad'm,Gad’m,2M7YR5nXXSf1N1DOyagxJO,c,,
Galantis,Galantis,4sTQVOfp9vEMCemLw50sbu,exact,69,3423366
Heyz,Heyz,5X1EM1jg35YB5jmw7qVIlh,exact,37,19937
Ian Asher,Ian Asher,5IrxhrMyvZxzgPYrC9j2km,exact,61,137815
Jon Casey,Jon Casey,5ttBnysifryX99bjzeFPGr,exact,38,16196
Joshwa,Joshwa,1PzAgFVk9v8cxn9flrqrv5,exact,52,38291
Juelz,Juelz,04p1jV00pBnrmh2rKl0jnT,c,,
Kai Wachi,Kai Wachi,2fNr4ldujwq97v1jWeqs8K,exact,52,152185
Kaleena Zanders,Kaleena Zanders,0Sz2jslaxjcw2VM5zYh2jK,exact,48,17739
Kaskade,Kaskade,6TQj5BFPooTa08A7pk8AQ1,exact,65,977266
Kevin Alvarez,Kevin Alvarez,03tOs8pwwPHolrSH2d5p6k,exact,,50
KREAM,KREAM,0DdDnziut7wOo6cAYWVZC5,exact,61,287122
Kreation,Kreation,3xDNY0vcZ7JBBX5fhdbT83,exact,22,797
Lil Texas,Lil Texas,76raIy8boaM9sf9gMGXGJ5,exact,57,110377
Louis The Child,Louis The Child,7wg1qvie3KqDNQbAkTdbX0,exact,58,483840
LP Giobbi,LP Giobbi,3oKnyRhYWzNsTiss5n4Z1J,exact,59,94367
MalFunktion,MalFunktion,34YxQdYHqH69k4KFNKZFFJ,exact,17,2320
MC4D,MC4D,2MbY32LPINIi9P6PCkrOJI,exact,49,76009
MUZZ,MUZZ,4UNnRb4LN2hGtbtMfPzMhg,exact,50,88155
NGHTMRE,NGHTMRE,76M2Ekj8bG8W7X2nbx2CpF,exact,57,472078
Dimension,Dimension,1QMgre3BHX161ZHtWMUu6S,exact,61,153522
Of The Trees,Of The Trees,5V7NIXgCnX2KuQ01Bxg20c,exact,50,112530
Orozco,Orozco,4h0zHrcN7KYuJ8wkxzJagU,exact,7,134
Peekaboo,PEEKABOO,4Ok1Cm5YX5StCQZgH0r2xF,exact,52,134067
Caspa,Caspa,4nMuaJ4kBLDJCRBizNESI6,exact,36,71350
Pods,Pods,3DzGEZhTVuQGd0mWK0kEwF,c,,
Prosecute,Prosecute,29WUwugsDf2hQ5tAZMyR7T,exact,33,4945
PYKE,PYKE,0Gph5nn0pLUR8oT8t4j41d,exact,26,3029
Raakmo,Raakmo,5RAiaze7u3rrFkJbFJ4dWG,exact,39,1345
Ray Volpe,Ray Volpe,2K9qsrYnsu1EWt7ZQkkuXb,exact,50,151057
Rezz,Rezz,4aKdmOXdUKX07HVd3sGgzw,exact,58,564286
RL Grime,RL Grime,5eIbEEQnDM8yuDVB0bimSP,exact,62,435181
Rohaan,Rohaan,7FqSU53yVH1SQAtLZ63DGS,exact,34,11818
Seth David,Seth David,1wfOprPxy1C22S9zV8tK3b,exact,30,5504
Seven Lions,Seven Lions,6fcTRFpz0yH79qSKfof7lp,exact,59,509961
Sherm,Sherm,5GaFjMsAVZru8XDlDkCaN0,c,,
Silent Hype,Silent Hype,4zikvMSFWwKAGYY22OM2A0,c,,
Skeptis,Skeptis,2gCVtcYrzToqHPMLigBd60,exact,,19
Sofi Tukker,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,exact,67,868809
BLVNKSPVCE,BLVNKSPVCE,72qYTgSCSu7QFhBhyk00fe,exact,19,4245
HAMRO,HAMRO,45tIGuLKx3RA70cm4rnSLH,exact,28,5811
SQISHI,SQISHI,0UIHAcihBBHr4dlN4syE1h,exact,28,4013
SVDDEN DEATH,SVDDEN DEATH,2u01kCKA5wDvvztuH8lyT0,exact,51,243019
Swando,SWANDO,1OolWR2Kww5eyNgL6NNJrd,exact,28,1663
Brute,Brute,0qa3BJHE2fneYJsnRuTAch,exact,11,1983
Taiki Nulight,Taiki Nulight,4QWmN97HRZya55JvxN3I5a,exact,51,52160
Timmy Trumpet,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,exact,71,1236640
Tinlicker,Tinlicker,5EmEZjq8eHEC6qFnT63Lza,exact,64,243223
Tombz,Tombz,6lib5PryDEdaqbVKPgIMbC,exact,29,4983
VKTM,VKTM,3Hvi9LxTMvcAUxf8GNZKeD,exact,28,2707
Water Spirit,Water Spirit,6kDrYhgzsmoiuwHbzWgA41,exact,23,8630
Wax Motif,Wax Motif,7zm3aSdmGiOkTt0aZFSO8R,exact,51,116085
Westend,Westend,4epc3Bd0DOBA0kDywkRAsu,exact,56,59573
YOOKiE,YOOKiE,26RHyTSsP5JoS4udf8txU5,exact,44,91868
Zedd,Zedd,2qxJFvFYMEDqd7ui6kSAcq,exact,75,6044468
Zeds Dead,Zeds Dead,67qogtRNI0GjUr8PlaG6Zh,exact,61,632576
Boris,Boris,3EgMK920cIH5aLxFnJ6zSi,exact,39,164878
