Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
999999999,999999999,6uD2LjPHUjxrpax0se17Nc,exact,41,151410
Adriatique,Adriatique,02DWGcShQivFepRvGJ7xhB,exact,58,313626
Ahadadream,Ahadadream,3SvsaUFZZNgVZYKrcFgzWW,exact,42,19553
Anyma,Anyma,4iBwchw0U0GZv5RfVYSMxN,exact,71,667839
Armin van Buuren,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,exact,75,4504264
ASAP Rocky,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,c,85,16089046
Ash Olsen,Ash Olsen,0ttXrMwLh27nHwox4z8BYx,exact,21,4271
Balu Brigada,Balu Brigada,6O9vGMmTwzihULICPCsNf2,exact,58,83149
Bedouin,Bedouin,5bKdC6382t97Qnpvs81Rqx,exact,47,114038
Blossoms,Blossoms,22RISwgVJyZu9lpqAcv1F5,exact,57,476886
Boris Brejcha,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy,exact,63,1507385
Bou,Bou,35dxfY1wywqVRUEaVuMm13,c,,
Brutalismus 3000,Brutalismus 3000,6LtXxYMIiKSy2EGHnz1f5j,exact,57,391090
Call Me Karizma,Call Me Karizma,5fENlrINIVP0gJOtKxvORt,exact,55,271051
Caribou,Caribou,4aEnNH9PuU1HF3TsZTru54,exact,57,703808
Carlita,Carlita,1GVbOnrND8b3eh2JZ4opw8,exact,55,45135
Chappell Roan,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,exact,87,5432492
Charli XCX,Charli xcx,25uiPmTg16RbhZWAqwLBy5,exact,85,5067889
Co Lee,Co Lee,7AFCBet5F4Pocp1il3bxv0,exact,49,15565
Desiree,Desiree,6TZbLCcOCv1DJvN28x3FBa,c,,
Dixon,Dixon,3wc57nV2fGEoM8x4xPK1O9,c,,
Ecca Vandal,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,exact,44,40491
EKKSTACY,EKKSTACY,0ynzbXwyCzxicMKHBoOkSH,exact,62,328730
Elefánt,Elefánt,5XXDBFhkTp168rjq9IjAE3,exact,45,54750
Eliza Rose,Eliza Rose,4XC335ouK6pXyq4QiIb8bP,exact,58,68921
Elli Acula,Elli Acula,4SttkjM3Nv9VUc7BNtJTQT,exact,14,5128
Estella Boersma,Estella Boersma,4UCy3TOuu2eA6zNY50JQSV,exact,27,15735
Fat Dog,Fat Dog,4DLjEphXbW7qIhX4iwmNEe,exact,44,39942
Fatima Hajji,Fatima Hajji,6jZSXmTCxZhFfYELtp78Ci,exact,37,112991
Fatima Yamaha,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP,exact,40,100759
FJAAK,FJAAK,4qG1qjeHfkASTdyRGbLWbV,exact,36,121597
