Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
999999999,999999999,6uD2LjPHUjxrpax0se17Nc,exact,41,151410
ABEL,ABEL,2EsYY7ZHoWaQgPFwWgbyMe,exact,24,253
ABOVE & BEYOND,ABOVE & BEYOND,10gzBoINW3cLJfZUka8Zoe,c,,
ADAM BEYER,Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,exact,54,345665
ADAM DE GREAT,Adam De Great,1Z4FZB4BeiMb5JGoQ0QxkP,exact,18,896
ADRENALIZE,ADRENALIZE,6GebWeCCtey5pbQepRYD6c,c,,
AFROBETA,Afrobeta,4UqLRnUdi1XnIP2vYpDLko,exact,16,3618
AFROJACK,AFROJACK,4D75GcNG95ebPtNvoNVXhz,exact,73,3987732
AHADADREAM,Ahadadream,3SvsaUFZZNgVZYKrcFgzWW,exact,42,19553
ALCHIMYST,ALCHIMYST,2yrruLNIgKetksilWBdJHy,c,,
ALESSO,Alesso,4AVFqumd2ogHFlRbKIjp1t,exact,74,3995135
ALEX PIZZUTI,Alex Pizzuti,6eRFrSBTRTDCfNs6WqUWGE,exact,24,4902
ALLEYCVT,ALLEYCVT,4JxRK2gxmri7L7OWaxnVD1,exact,51,59981
JESSICA AUDIFFRED,Jessica Audiffred,4odLDriBk6oEZotzLPTSnD,exact,46,59894
ANDY C,Andy C,75HK7rgkmDMTnWwwmcN53N,exact,52,163655
ANYMA,Anyma,4iBwchw0U0GZv5RfVYSMxN,exact,71,667839
SOLOMUN,Solomun,5wJK4kQAkVGjqM9x46KQOC,exact,61,1024064
ARMIN VAN BUUREN,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,exact,75,4504264
ARTBAT,ARTBAT,3BkRu2TGd2I1uBxZKddfg1,exact,65,473609
ATLIENS,ATLiens,74RET4rCZPTGzhsLjD0i3g,exact,49,118709
AXWELL,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,c,65,2499957
BARCLAY CRENSHAW,Barclay Crenshaw,3uWK9g12Kh4IarZX052vJR,exact,36,36185
BLAZY,BLAZY,0bRSiwwXJM8iZTzUaz2M8l,exact,,62
BOIISH,boiish,2KtrXBlhadOO33hOc6l95Y,exact,2,389
BORIS BREJCHA,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy,exact,63,1507385
BRENNAN HEART,Brennan Heart,5QySqc6yAFDx9m7fedFZmC,exact,61,326918
CARL COX,Carl Cox,19SmlbABtI4bXz864MLqOS,exact,52,825702
CHARLIE SPARKS,Charlie Sparks (UK),1lsjQdGrRe2D1nmvCVB7JZ,c,40,71165
CHARLOTTE DE WITTE,Charlotte de Witte,1lJhME1ZpzsEa5M0wW6Mso,exact,62,1079674
CHASE & STATUS,CHASE & STATUS,3jNkaOXasoc7RsxdchvEVq,c,,
CHLOE CAILLET,Chloé Caillet,68ywCN6ZpInbcilOfLBa3a,c,44,21553
CHRISTOPHER COE,CHRISTOPHER COE,3LLc5jMIE1UHX5eF2cN8rP,c,,
CJ,CJ,7arQA31aZVS8yS6zUveWzb,exact,61,266628
COEXIST,COEXIST,3obdHCuhMruqewl3Oq3SGl,exact,,33
COONE,Coone,1Wt63OMKtv6v2ivHuQLm2C,exact,56,198139
CRANKDAT,Crankdat,5lCekoJW9jNq01B1wiqdAb,exact,51,167148
CVMRN,CVMRN,7bywdy7GogO9U60ROyLSih,exact,26,860
DA TWEEKAZ,Da Tweekaz,6UOk7DmvqlzWmo6gjhZvn6,exact,61,314834
DARKSIDERZ,Darksiderz,1XwoaxvFx5Y67ZdLQt2TMa,exact,17,4443
DE XENIA,DE XENIA,578rjvR7ypgaxkDRFpA6J9,exact,,35
DEADMAU5,deadmau5,2CIMQHirSU0MQqyYHq0eOx,exact,67,2847815
PENDULUM,Pendulum,7MqnCTCAX6SsIYYdJCQj9B,exact,61,984074
DILLON NATHANIEL,Dillon Nathaniel,0Ut5FcDeEgaM9PM3LvnH6j,exact,28,20633
DIMENSION,DIMENSION,2kPO4JmSP9pIovLaGUBDn1,exact,25,6412
DJ IDEAL,DJ Ideal,0J5a9WjTl4yTUZLus9ONjU,exact,11,863
DOM DOLLA,Dom Dolla,205i7E8fNVfojowcQSfK9m,exact,71,529671
JOHN SUMMIT,JOHN SUMMIT,7kNqXtgeIwFtelmRjWv205,c,,
DUBFIRE,Dubfire,3bVYqr2NfmwmL4YJisWhJI,exact,38,169306
ELI BROWN,Eli Brown,5lVNSw2GPci8kebrAQpZqU,exact,60,145320
FERNANDA PISTELLI,Fernanda Pistelli,5igzfD3v4xlpL3Pap8zYek,exact,20,15708
FLUX PAVILION,Flux Pavilion,7muzHifhMdnfN1xncRLOqk,exact,57,716636
DOCTOR P,Doctor P,0tgjwsn1Lpjj8kKEvWm0KQ,exact,47,235729
FOUR TET,Four Tet,7Eu1txygG6nJttLHbZdQOh,exact,62,770125
FRANK WALKER,Frank Walker,6rcE30MaP92XafelMNZ2Sq,exact,53,110415
GESAFFELSTEIN,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,exact,72,880085
GIL GLAZE,Gil Glaze,6pNzdcgIaKQKsYNS5agP4V,exact,36,4195
GRYFFIN,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,exact,68,982443
HARDWELL,Hardwell,6BrvowZBreEkXzJQMpL174,exact,67,3662084
HEDEX,Hedex,22I9QWygJ2IfxR855VsA3t,exact,57,144119
I HATE MODELS,I Hate Models,0KqSULB80ft2H3aFg6kJmN,exact,50,260706
INFECTED MUSHROOM,Infected Mushroom,6S2tas4z6DyIklBajDqJxI,exact,55,769475
JACK VICE,JACK VICE,4AI2WedOOQNLAm3ZvLWWpJ,c,,
JEV,JEV,6StZbL9v3UpuaMwIoq8fyW,exact,45,11997
JIMMIE PAGE,JIMMIE PAGE,7dTCXSCWuEITLtV154vCew,c,,
JOA,JOA,3rOSOkPQ5PHYOiR7mvLTMA,exact,26,246
JOEL CORRY,Joel Corry,6DgP9otnZw5z6daOntINxp,exact,70,451241
JORIS VOORN,Joris Voorn,4jGpKAmwvU263l0tUh4xKU,exact,56,207408
JOSH W!NK,Josh Wink,6DQLkRykAsF6paJnlIMX4H,c,34,45213
JOSH WETHERINGTON,Josh Wetherington,2JtyoTx58VSHNKAjJn2Ed5,exact,2,180
JOYHAUSER,Joyhauser,59a1Bp0JQfL2mGnpL0lW2Y,exact,47,84009
JULIAN CROSS,Julian Cross,1TRFjpBEneFJJloCqSC4sG,exact,31,3664
JULIET FOX,Juliet Fox,7zH0EpzFgwmwpnEprtvDig,exact,33,16487
JUNO,juno,5YfZjShz51htJsfQP0YceU,exact,44,44465
KAMI,KAMI,5nodOFXcI3HPPhfqhWwd06,exact,37,4803
KAPUCHON,KAPUCHON,1x8zJjYRYiDgXA8J4uopMt,c,,
KASIA,KASIA,7eHoBIirKPLD1FtgLZnjFV,exact,36,6253
KEVIN DE VRIES,Kevin de Vries,11aPF3sc8lDWNqPVInm4Zx,exact,54,138733
KHROMATA,Khromata,4qZkbvcIR78hf7pxIAyYpi,exact,4,1191
KNIFE PARTY,Knife Party,2DuJi13MWHjRHrqRUwk8vH,exact,53,906112
KOROLOVA,Korolova,0I6oCyQQ1Q50q97y9B9gAx,exact,56,189250
KSHMR,KSHMR,2wX6xSig4Rig5kZU6ePlWe,exact,63,1775952
LEVEL UP,LEVEL UP,1ZpDxqXS6HAvoZyCzQfKRb,exact,47,49975
LOS DE LA VEGA,LOS DE LA VEGA,3S7b5SOumdQXb497A2gOjs,c,,
LSDREAM,LSDREAM,3Hrqjumb6WHg2aAUHJHLND,exact,51,143719
CLOZEE,CloZee,1496XxkytEk26FUJLfpVZr,exact,52,224153
